,Adjusted Rank,Tuition,Enrollment Numbers,PriceQualityRatio
count,161.0,161.0,161.0,161.0
mean,77.96273291925466,44110.05590062112,16056.621118012423,0.002181976754231578
std,44.856700753448955,12537.153778992488,12730.40474216359,0.0018503200917293816
min,1.0,6120.0,901.0,1.7853954650955187e-05
25%,38.0,33928.0,6114.0,0.0008180300500834725
50%,79.0,44196.0,11612.0,0.0018396277459149443
75%,117.0,55776.0,24505.0,0.002971125277641561
max,148.0,63530.0,63124.0,0.012908496732026143
