;;Дата;Название;Просмотры;Лайки;Комментарии;Сохранения;Рубрика
Максимальные значения;0;13/06/2023;Я создал говорящего робота;5273;426;69;47;Мои проекты в программировании
Максимальные значения;1;13/06/2023;Я создал говорящего робота;5273;426;69;47;Мои проекты в программировании
Максимальные значения;2;13/06/2023;Я создал говорящего робота;5273;426;69;47;Мои проекты в программировании
Максимальные значения;3;24/06/2023;Сейчас ты узнаешь про For и While за 1 минуту!;3117;206;11;52;Короткие поверхностные объяснения тем в Python
Просмотры больше 1000;0;13/06/2023;Я создал говорящего робота;5273;426;69;47;Мои проекты в программировании
Просмотры больше 1000;3;17/06/2023;Я создал переводчик который лучше Google Переводчика;2911;167;43;26;Мои проекты в программировании
Просмотры больше 1000;4;22/06/2023;Сейчас о ПК ты узнаешь больше, чем за 1 год Информатики!;1939;135;28;18;Общие уроки информатики
Просмотры больше 1000;6;24/06/2023;Сейчас ты узнаешь про For и While за 1 минуту!;3117;206;11;52;Короткие поверхностные объяснения тем в Python
